stage_index,stage_name,i,x[m],dx[m],qprime[W/m],UA_prime[W/K/m],Tgw[K],Tww[K],boiling,gas_T[K],gas_P[Pa],water_h[J/kg],water_P[Pa],water_T[K],water_x[-]
4,HX_5,25,2.601851851851852,0.10407407407407408,224701.81260722651,197.72467427154018,1021.3140051758535,1021.3140051758536,True,1556.4749593908039,115000.0,619797.9890602751,1000000,420.1818965506923,
4,HX_5,26,2.7059259259259263,0.10407407407407408,224229.61933250912,197.71257722550112,1020.5945875322211,1020.594587532221,True,1554.7001540685815,115000.0,622136.5523692615,1000000,420.7255391983098,
4,HX_5,27,2.81,0.10407407407407408,223758.42356919817,197.70049311576108,1019.876522544254,1019.876522544254,True,1552.9287204696334,115000.0,624470.2013704628,1000000,421.2678663990159,
4,HX_5,28,2.9140740740740743,0.10407407407407408,223288.2233373056,197.68842195258807,1019.1598073082572,1019.1598073082573,True,1551.1606522267614,115000.0,626798.9464453866,1000000,421.8088805451808,
4,HX_5,29,3.0181481481481485,0.10407407407407408,222819.01666010031,197.67636374617828,1018.4444389275218,1018.4444389275219,True,1549.3959429844283,115000.0,629122.7979549342,1000000,422.3485840274469,
4,HX_5,30,3.1222222222222227,0.10407407407407408,222350.80156410823,197.6643185066559,1017.7304145123027,1017.7304145123028,True,1547.6345863987383,115000.0,631441.7662394338,1000000,422.88697923470795,
4,HX_5,31,3.2262962962962964,0.10407407407407408,221883.5760791097,197.65228624407163,1017.0177311797922,1017.0177311797923,True,1545.8765761374168,115000.0,633755.8616186751,1000000,423.4240685540892,
4,HX_5,32,3.3303703703703706,0.10407407407407408,221417.33823814202,197.64026696840523,1016.306386054109,1016.306386054109,True,1544.1219058797947,115000.0,636065.0943919428,1000000,423.959854370928,
4,HX_5,33,3.434444444444445,0.10407407407407408,220952.08607749618,197.62826068956244,1015.5963762662678,1015.5963762662678,True,1542.3705693167897,115000.0,638369.4748380509,1000000,424.49433906875544,
4,HX_5,34,3.5385185185185186,0.10407407407407408,220487.81763671662,197.61626741737658,1014.8876989541653,1014.8876989541652,True,1540.6225601508856,115000.0,640669.013215376,1000000,425.0275250292791,
4,HX_5,35,3.642592592592593,0.10407407407407408,220024.5309586012,197.60428716160874,1014.1803512625587,1014.1803512625587,True,1538.8778720961166,115000.0,642963.7197618914,1000000,425.5594146323658,
4,HX_5,36,3.746666666666667,0.10407407407407408,219562.22408919816,197.59231993194584,1013.4743303430441,1013.4743303430441,True,1537.136498878047,115000.0,645253.6046952013,1000000,426.0900102560246,
4,HX_5,37,3.8507407407407412,0.10407407407407408,219100.8950778055,197.58036573800135,1012.7696333540392,1012.7696333540392,True,1535.3984342337556,115000.0,647538.678212574,1000000,426.6193142763927,
4,HX_5,38,3.954814814814815,0.10407407407407408,218640.54197697007,197.56842458931632,1012.0662574607643,1012.0662574607642,True,1533.6636719118112,115000.0,649818.9504909763,1000000,427.1473290677199,
